user_id,product_id,rating,timestamp
378,166,4,2024-11-14 09:58:07.031581
214,434,4,2024-11-14 10:58:07.031581
622,37,3,2024-11-14 11:58:07.031581
196,88,5,2024-11-14 12:58:07.031581
476,118,4,2024-11-14 13:58:07.031581
566,56,4,2024-11-14 14:58:07.031581
831,179,4,2024-11-14 15:58:07.031581
387,280,3,2024-11-14 16:58:07.031581
384,86,3,2024-11-14 17:58:07.031581
445,191,3,2024-11-14 18:58:07.031581
685,3,5,2024-11-14 19:58:07.031581
753,4,3,2024-11-14 20:58:07.031581
74,34,5,2024-11-14 21:58:07.031581
330,118,3,2024-11-14 22:58:07.031581
533,89,4,2024-11-14 23:58:07.031581
864,93,4,2024-11-15 00:58:07.031581
741,88,5,2024-11-15 01:58:07.031581
993,301,5,2024-11-15 02:58:07.031581
159,30,4,2024-11-15 03:58:07.031581
464,56,5,2024-11-15 04:58:07.031581
688,292,5,2024-11-15 05:58:07.031581
200,68,5,2024-11-15 06:58:07.031581
941,15,3,2024-11-15 07:58:07.031581
678,71,4,2024-11-15 08:58:07.031581
856,64,4,2024-11-15 09:58:07.031581
517,461,4,2024-11-15 10:58:07.031581
62,92,3,2024-11-15 11:58:07.031581
577,45,5,2024-11-15 12:58:07.031581
771,75,4,2024-11-15 13:58:07.031581
915,41,4,2024-11-15 14:58:07.031581
868,48,5,2024-11-15 15:58:07.031581
901,7,5,2024-11-15 16:58:07.031581
513,195,5,2024-11-15 17:58:07.031581
875,49,5,2024-11-15 18:58:07.031581
87,425,4,2024-11-15 19:58:07.031581
664,18,4,2024-11-15 20:58:07.031581
55,77,3,2024-11-15 21:58:07.031581
911,44,4,2024-11-15 22:58:07.031581
533,351,4,2024-11-15 23:58:07.031581
460,71,3,2024-11-16 00:58:07.031581
74,352,5,2024-11-16 01:58:07.031581
212,36,5,2024-11-16 02:58:07.031581
32,9,3,2024-11-16 03:58:07.031581
837,13,5,2024-11-16 04:58:07.031581
552,32,4,2024-11-16 05:58:07.031581
162,331,4,2024-11-16 06:58:07.031581
410,132,4,2024-11-16 07:58:07.031581
435,423,5,2024-11-16 08:58:07.031581
239,51,4,2024-11-16 09:58:07.031581
754,122,4,2024-11-16 10:58:07.031581
35,81,5,2024-11-16 11:58:07.031581
769,409,4,2024-11-16 12:58:07.031581
177,87,5,2024-11-16 13:58:07.031581
631,57,4,2024-11-16 14:58:07.031581
932,52,4,2024-11-16 15:58:07.031581
